"Timestamp","Location","Age ","Native language","Your Proficiency with Hindi ","Qualification","1. आपका आंसर गलत है or आपका आंसर रॉंग है","2. वाह क्या सीन है or वाह क्या दृश्य है","3. सुबह उठके स्कूल जाना है or सुबह उठके विद्यालय जाना है","4. पीएचडी की डिग्री पाना जीवन की एक महत्वपूर्ण उपलब्धी है or पीएचडी की उपाधि पाना जीवन की एक महत्वपूर्ण उपलब्धी है","5. वुमन्स की इज्जत करनी चाहिए or महिलाओ की इज्जत करनी चाहिए","6. सब मनी का खेल है, मनी से सारे काम बन जाते है or सब पैसे का खेल है, पैसे से सारे काम बन जाते है","7. पहले आप अपनी सीट पे बैठ जाये फिर बात करेंगे or पहले आप अपनी कुर्सी पे बैठ जाये फिर बात करेंगे","8. दिमाग़ को कूल रखना सीखो or दिमाग़ को ठंडा रखना सीखो","9. कृपया मेरे मैटर में दखल न दे or कृपया मेरे मामले में दखल न दे","10. बेंगलुरु में ट्रैफिक की समस्या बहुत बढ़ गयी है or बेंगलुरु में यातायात की समस्या बहुत बढ़ गयी है","11. अमिताभ बच्चन इस सदी के सुपरस्टार है or अमिताभ बच्चन इस सदी के महानायक है","12. पार्लियामेंट लोकतंत्र का मंदिर है or संसद लोकतंत्र का मंदिर है","13. मैनेजर साहब ने छुट्टी की रिक्वेस्ट मंजूर कर ली or मैनेजर साहब ने छुट्टी का निवेदन मंजूर कर लिया","14. खेल के टाइम हम लोग एकट्ठा हो जाते हैं or प्ले के टाइम हम लोग एकट्ठा हो जाते हैं","15. इस वीक आप खाली है क्या ? मझे कुछ काम है आपसे or इस सप्ताह आप खाली है क्या ? मझे कुछ काम है आपसे","16. हमारे देश में पॉलिटिक्स का स्तर बहुत निचे गिर गया है or हमारे देश में राजनीति का स्तर बहुत निचे गिर गया है","17. मेरे अंकल ने मुझे पेन गिफ्ट किया or मेरे चाचा ने मुझे पेन गिफ्ट किया","18. हमारी क्लास के बॉयज बहुत शरारत करने लगे है or हमारी क्लास के लड़के बहुत शरारत करने लगे है","19. चलो में तुम्हे अपनी कार से ऑफिस छोड़ देता हूँ or चलो में तुम्हे अपनी गाड़ी से ऑफिस छोड़ देता हूँ","20. सुबह से बॉडी मे बहुत दर्द हो रहा है or सुबह से शरीर मे बहुत दर्द हो रहा है","21. हमारी क्लास के लड़के बहुत शरारत करने लगे है or हमारी कक्षा के लड़के बहुत शरारत करने लगे है","22. इस प्रतियोगिता में आपकी परफॉरमेंस बहुत अच्छी रही or इस प्रतियोगिता में आपका प्रदर्शन बहुत अच्छा रहा","23. नगर पालिका ने बहुत ख़राब रोड बनायीं or नगर पालिका ने बहुत ख़राब सड़क बनायीं","24. आपको छात्रसंघ के प्रेसिडेंट पद के लिए खड़े होना चाहिए or आपको छात्रसंघ के अध्यक्ष पद के लिए खड़े होना चाहिए","25. विद्यालय का फर्स्ट डे कैसा रहा or विद्यालय का पहला दिन कैसा रहा","26. क्या आप सरकारी सर्विस में है or क्या आप सरकारी सेवा में है","27. आजकल मेरा लक अच्छा चल रहा है or आजकल मेरा भाग्य अच्छा चल रहा है ","28. क्वेश्चन पूछने में झिझकना नहीं चाहिए or सवाल पूछने में झिझकना नहीं चाहिए","29. आपका हाउस कितना सुंदर है or आपका मकान कितना सुंदर है","30. पानी का रंग ब्लू नहीं होता है or पानी का रंग नीला नहीं होता है","31. दरवाज़ा खोलने के लिए हरे बटन को प्रेस करे or दरवाज़ा खोलने के लिए हरे बटन को दबाएँ","32. पुराने गानों के लिरिक्स बहुत अर्थपूर्ण होते थे or पुराने गानों के बोल बहुत अर्थपूर्ण होते थे","33. हम मित्रो का एक ग्रुप है जिसमे हम साथ में पढ़ते है or हम मित्रो का एक समूह है जिसमे हम साथ में पढ़ते है","34. यह वे हाइवे मे जाके मिलता हे or यह मार्ग हाइवे मे जाके मिलता हे","35. जिंदगी में कुछ मोमेंट्स ऐसे होते है जिन्हे भूल नहीं सकते or जिंदगी में कुछ पल ऐसे होते है जिन्हे भूल नहीं सकते","36. हर एक फ्रेंड ज़रूरी होता हे or हर एक दोस्त ज़रूरी होता हे","37. इतना काम कर लिया अब थोड़ा रेस्ट करलो or इतना काम कर लिया अब थोड़ा आराम करलो","38. अंताख्यरी के खेल को गाइस ने जीता or अंताख्यरी के खेल को पुरुषों ने जीता","39. अपनी अनुपस्तिथि का रीज़न बताओ or अपनी अनुपस्तिथि का कारण बताओ","40. मुझे एक रूम किराए पे चाहिए है or मुझे एक कमरा किराए पे चाहिए है","41. कॉलेज के मैदान मे खेल का आयोजन हुआ or महाविद्यालय के मैदान मे खेल का आयोजन हुआ","42. भारत में कानून की पढ़ाई करने के लिए अच्छी यूनिवर्सिटी का नाम बताओ or भारत में कानून की पढ़ाई करने के लिए अच्छे विश्वविद्यालय का नाम बताओ","43. इंडियन पीपल इस बारे मे इतना नही सोचते or इंडियन लोग इस बारे मे इतना नही सोचते","44. गॉड ने हमारे साथ ऐसा क्यों किया or भगवान ने हमारे साथ ऐसा क्यों किया","45. लाइफ मे बेसिक थिंग्स रोटी , कपड़ा और मकान हे or लाइफ मे बेसिक चीज़े रोटी, कपड़ा और मकान हे","46. मैं नई फिल्म के लिए स्क्रिप्ट तैयारी कर रहा हूँ or मैं नई फिल्म के लिए आलेख तैयारी कर रहा हूँ","47. 'जन गण मन' भारत का राष्ट्रीय अन्थम है or 'जन गण मन' भारत का राष्ट्रीय गान है","48. रमेश एक फार्मर है or रमेश एक किसान है","49. सोसायटी व्यक्तियों से बना है or समाज व्यक्तियों से बना है","50. यह मैजिक की तरह है or यह जादू की तरह है","51. जज का निर्णय अंतिम है or न्यायाधीश का निर्णय अंतिम है","52. इम्तियाज डाइलॉग लेखन में एक विशेषज्ञ है or इम्तियाज संवाद लेखन में एक विशेषज्ञ है","53. कैंडिडेट अपने विवरण प्रस्तुत कर सकते हैं or उम्मीदवार अपने विवरण प्रस्तुत कर सकते हैं","54. एक डॉक्टर से पूछो। or एक चिकित्सक से पूछो।","55. हर किसी को अपनी डिफेन्स करनी आनी चाहिए or हर किसी को अपनी रक्षा करनी आनी चाहिए","56. क्या मैं टॉयलेट जा सकता हूँ? or क्या मैं शौचालय जा सकता हूँ?","57. एंजल स्वर्ग मे रहते हैं | or देबदूत स्वर्ग मे रहते हैं |","58. कैंसर एक खतरनाक बीमारी है or कर्कट रोग एक खतरनाक बीमारी है","59. वह अभी टाउन से बाहर है। or वह अभी शहर से बाहर है।","60. यह उपन्यास एक अमेरिकी राइटर ने लिखा था or यह उपन्यास एक अमेरिकी लेखक ने लिखा था","61. पुलिसकर्मी की दुर्घटना के लिए टैक्सी ड्राइवर को दोषी ठहराया or पुलिसकर्मी की दुर्घटना के लिए टैक्सी चालक को दोषी ठहराया","62. हवाई अड्डे पर पुलिस अफ़सर उपस्थित थे। or हवाई अड्डे पर पुलिस अधिकारी उपस्थित थे।","63. शूटिंग मे दस सैनिक घायल हुए है | or गोलीबारी मे दस सैनिक घायल हुए है |","64. उन्होंने गोवा में वेकेशन का आनंद लिया। or उन्होंने गोवा में छुट्टी का आनंद लिया।","65. वह एक अच्छा सिंगर है or वह एक अच्छा गायक है","66. एक जर्नलिस्ट को अक्सर जोखिम लेना पडता है. or एक पत्रकार को अक्सर जोखिम लेना पडता है.","67. हर कोई बैठक के लिए हॉल को आ रहें है। or हर कोई बैठक के लिए कक्ष को आ रहें है।","68. पुस्तक का टाइटल क्या है? or पुस्तक का शीर्षक क्या है?","69. मुख्यमंत्री असेंब्ली के लिए जा रहें है। or मुख्यमंत्री विधानसभा के लिए जा रहें है।","70. ज्वेलर को रत्नो का बेहतर ज्ञान है। or जौहरी को रत्नो का बेहतर ज्ञान है।"
"2017/02/08 9:31:14 PM GMT+5:30","chennai","20","Non-Hindi","Comfortable","Graduate","English","English","English","English","Hindi","Hindi","English","Hindi","Hindi","English","English","English","English","Hindi","English","Hindi","English","Hindi","Hindi","Hindi","English","English","English","English","Hindi","English","English","Hindi","Hindi","English","Hindi","English","English","English","Hindi","English","English","Hindi","Hindi","Hindi","English","English","Hindi","Hindi","Hindi","English","English","English","English","Hindi","English","English","English","English","Hindi","English","English","English","Hindi","English","English","English","English","Hindi","Hindi","English","English","English","English","English"
"2017/02/08 9:38:23 PM GMT+5:30","Chennai","22","Hindi","Expert","Higher Secondary","English","English","English","English","English","Hindi","Hindi","Hindi","Hindi","English","English","Hindi","English","Hindi","Hindi","Hindi","Hindi","Hindi","Hindi","English","English","English","English","English","Hindi","Hindi","English","Hindi","Hindi","Hindi","Hindi","English","English","English","Hindi","English","Hindi","English","Hindi","Hindi","English","English","Hindi","Hindi","Hindi","English","Hindi","Hindi","Hindi","Hindi","English","English","Hindi","English","Hindi","English","English","English","Hindi","Hindi","English","English","Hindi","Hindi","English","Hindi","Hindi","English","Hindi","Hindi"
"2017/02/08 9:56:59 PM GMT+5:30","Chennai","21","Non-Hindi","Comfortable","Higher Secondary","Hindi","English","English","English","Hindi","Hindi","English","Hindi","Hindi","English","English","English","English","Hindi","English","English","English","Hindi","Hindi","Hindi","English","English","English","English","Hindi","English","English","Hindi","English","Hindi","Hindi","English","English","English","Hindi","English","Hindi","English","Hindi","Hindi","English","English","Hindi","Hindi","Hindi","English","English","Hindi","Hindi","Hindi","English","English","English","English","Hindi","English","English","English","Hindi","English","English","English","English","Hindi","English","English","English","English","English","English"
"2017/02/08 10:03:08 PM GMT+5:30","chennai","21","Hindi","Comfortable","Graduate","Hindi","English","English","English","Hindi","Hindi","English","Hindi","Hindi","English","English","English","English","Hindi","English","English","Hindi","Hindi","English","English","English","English","English","English","English","English","English","English","English","English","Hindi","English","English","English","English","English","Hindi","Hindi","English","English","English","English","Hindi","Hindi","Hindi","English","Hindi","Hindi","Hindi","Hindi","English","English","English","English","English","English","English","English","Hindi","English","English","English","English","Hindi","English","English","English","English","English","English"
"2017/02/08 10:04:03 PM GMT+5:30","Chennai","21","Hindi","Expert","Graduate","Hindi","English","English","English","Hindi","Hindi","English","Hindi","Hindi","English","English","English","English","Hindi","English","Hindi","Hindi","Hindi","Hindi","English","English","English","English","English","Hindi","Hindi","English","English","English","English","Hindi","English","English","English","English","Hindi","Hindi","English","English","English","English","Hindi","Hindi","Hindi","Hindi","English","English","Hindi","English","Hindi","English","English","English","English","English","English","English","English","Hindi","English","English","English","English","Hindi","English","English","English","English","English","Hindi"
"2017/02/08 10:26:15 PM GMT+5:30","Chennai","22","Hindi","Comfortable","Graduate","English","English","English","English","Hindi","Hindi","English","English","Hindi","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","Hindi","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","Hindi","English","English","English","English","Hindi"
"2017/02/08 10:35:20 PM GMT+5:30","Banglore","21","Hindi","Expert","Higher Secondary","English","English","English","English","Hindi","Hindi","Hindi","Hindi","Hindi","English","English","English","English","Hindi","English","English","English","Hindi","English","Hindi","English","English","English","English","Hindi","English","English","English","Hindi","English","English","English","English","English","Hindi","English","Hindi","English","English","English","English","English","Hindi","Hindi","Hindi","English","English","Hindi","Hindi","Hindi","English","English","English","English","Hindi","English","English","English","Hindi","English","English","English","English","Hindi","English","English","English","English","Hindi","English"
"2017/02/08 10:37:10 PM GMT+5:30","chennai","21","Hindi","Expert","Graduate","Hindi","Hindi","English","English","Hindi","Hindi","English","Hindi","Hindi","English","Hindi","Hindi","English","English","English","Hindi","Hindi","Hindi","Hindi","Hindi","Hindi","English","Hindi","English","Hindi","Hindi","English","Hindi","Hindi","Hindi","Hindi","English","English","English","Hindi","English","Hindi","Hindi","Hindi","Hindi","English","English","Hindi","Hindi","Hindi","English","Hindi","Hindi","Hindi","Hindi","English","English","English","English","Hindi","English","English","English","Hindi","English","English","Hindi","Hindi","Hindi","English","English","English","Hindi","Hindi","Hindi"
"2017/02/08 10:56:22 PM GMT+5:30","Chennai","22","Hindi","Expert","Higher Secondary","English","English","English","English","Hindi","Hindi","English","Hindi","Hindi","English","English","Hindi","English","English","English","Hindi","Hindi","Hindi","Hindi","Hindi","English","English","Hindi","Hindi","Hindi","English","English","Hindi","Hindi","Hindi","Hindi","English","English","English","Hindi","English","Hindi","English","Hindi","Hindi","English","English","Hindi","Hindi","Hindi","English","Hindi","Hindi","Hindi","Hindi","English","English","Hindi","English","Hindi","English","English","English","Hindi","Hindi","English","English","Hindi","English","English","English","English","English","Hindi","English"
"2017/02/09 12:03:30 AM GMT+5:30","Bangalore presently ","21","Hindi","Expert","Graduate","Hindi","English","English","English","Hindi","Hindi","English","Hindi","Hindi","English","English","Hindi","English","Hindi","English","Hindi","Hindi","Hindi","Hindi","Hindi","English","Hindi","Hindi","Hindi","Hindi","Hindi","English","Hindi","Hindi","English","Hindi","Hindi","English","Hindi","Hindi","Hindi","Hindi","English","Hindi","Hindi","English","English","Hindi","Hindi","Hindi","English","Hindi","Hindi","Hindi","Hindi","English","English","Hindi","English","Hindi","English","English","English","Hindi","Hindi","English","Hindi","English","Hindi","Hindi","Hindi","Hindi","Hindi","Hindi","Hindi"